"id","name","size","rent","status","is_active"
"184","A-01","10x10","3000","Available","1"
"185","A-02","10x10","3000","Allocated","1"
"186","A-03","10x10","3000","Allocated","1"
"187","A-04","10x10","3000","Allocated","1"
"188","A-05","10x10","3000","Allocated","1"
"189","A-06","10x10","3000","Allocated","1"
"190","A-07","10x10","3000","Allocated","1"
"191","A-08","10x10","3000","Allocated","1"
"225","A-09","10x10","3000","Allocated","1"
"226","A-10","10x10","3000","Available","1"
"230","B-01","20x20","6000","Available","1"
"231","C-01","40x40","12000","Available","1"
"232","C-02","40x40","12000","Allocated","1"
"233","B-02","20x20","6000","Allocated","1"
