"id","type","name","size","rent_amount","facilities","location","status","is_active"
"1","Pavilion","P-01","4x4","88000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"2","Pavilion","P-02","3x4","66000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"3","Pavilion","P-03","3x4","66000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"4","Pavilion","P-04","3x4","66000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"5","Pavilion","P-05","4x4","88000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"6","Pavilion","P-06","6x4","132000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"7","Pavilion","P-07","4x4","88000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"8","Pavilion","P-08","3x4","66000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"9","Pavilion","P-09","3x4","66000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"10","Pavilion","P-10","4x4","88000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"11","Pavilion","P-11","3x4","66000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"12","Pavilion","P-12","4x4","88000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"13","Pavilion","P-13","4x4","88000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"14","Pavilion","P-14","4x4","88000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"15","Pavilion","P-15","4x4","88000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"16","Pavilion","P-16","4x4","88000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"17","Pavilion","P-17","4x4","88000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"18","Pavilion","P-18","3x4","66000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"19","Pavilion","P-19","9x6/2x4","100000","Electricity, 2 Table, 1 Chair","Akshaya Nagar","Booked","1"
"20","Stall","S-01","2x3","45000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"21","Stall","S-02","2x3","45000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"22","Stall","S-03","2x3","45000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"23","Stall","S-04","2x3","45000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"24","Stall","S-05","2x4","45000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"25","Stall","S-06","2x3","45000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"26","Stall","S-07","2x3","45000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"27","Stall","S-08","2x3","45000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"31","Booth","O-01","4x4","100000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"32","Booth","O-02","4x4","100000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"33","Booth","O-03","4x4","100000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"34","Booth","O-04","4x4","100000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"35","Booth","O-05","4x4","100000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"36","Booth","O-06","4x4","100000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Booked","1"
"37","Booth","O-07","4x4","100000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Available","1"
"38","Booth","O-08","4x4","100000","Electricity, 1 Table, 1 Chair","Akshaya Nagar","Available","1"
"46","Stall","S-09","9ft x 9ft","60000","Electric, Table and Chair","Akshaya Nagar","Booked","1"
"47","Stall","S-10","9ft x 9ft","60000","Electric, Table and Chair","Akshaya Nagar","Booked","1"
"48","Stall","S-11","9ft x 9ft","60000","Electric, Table and Chair","Akshaya Nagar","Booked","1"
"49","Stall","S-12","50x50","1000000","","Akshayanagar","Booked","1"
"50","Stall","S-13","4x2","30000","","Akshayanagar","Booked","1"
"51","Stall","S-14","2x2","30000","","Akshayanagar","Booked","1"
